ID	Lattitude	Longitude	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Cat.Lat_Long
Adi.15	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.16	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.17	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.18	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.2	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.3	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.6	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.7	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.8	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.9	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi12_R1	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi12_R2	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
ADN1.1	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.2	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.3	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.4	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.5	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.6	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.7	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN1.8	-32.2916058	138.009069	363	168	134	47	5351	318	37	281	108	235	235	98	348	42	17	31	121	55	55	116	-32.2916058_138.009069
ADN2.1	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN2.2	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN2.3	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN2.4	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN2.5	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN2.6	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN2.7	-32.29201	138.00928	360.4	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.29201_138.00928
ADN3.1	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
ADN3.2	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
ADN3.3	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
ADN3.4	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
ADN3.5	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
